Cas [sec]	M sklopke [Ncm]	M zavore [Ncm]	n motorja [1/min]	n sklopke [1/min]
0.019	-2.808	0.955	0.000	0.000
0.082	-6.960	4.198	0.000	0.000
0.178	-7.197	8.461	0.000	0.000
0.280	-30.290	19.644	249.508	6.252
0.381	808.317	192.707	855.248	23.148
0.481	3352.001	616.547	1330.813	41.910
0.581	6009.449	989.669	1456.136	56.296
0.681	7161.559	1083.330	1452.618	66.178
0.781	7324.718	1004.701	1439.874	72.114
0.881	7301.329	904.367	1435.895	78.285
0.981	7294.020	879.539	1435.211	87.760
1.081	7314.749	962.078	1435.932	99.467
1.181	7341.628	1114.523	1437.380	112.749
1.281	7321.837	1283.588	1438.369	127.485
1.381	7247.620	1369.771	1437.427	140.289
1.481	7210.064	1269.429	1435.876	150.023
1.581	7259.372	1108.555	1436.009	162.314
1.681	7310.485	1145.325	1436.205	178.042
1.781	7306.868	1326.129	1435.690	191.846
1.881	7295.757	1336.794	1435.496	203.528
1.981	7315.308	1203.435	1435.480	213.541
2.081	7353.666	1236.773	1435.494	223.193
2.181	7352.197	1321.555	1435.500	234.021
2.281	7325.361	1264.129	1436.069	241.873
2.381	7330.333	1267.800	1436.261	250.307
2.481	7326.135	1295.093	1435.135	263.773
2.581	7324.344	1266.030	1434.166	278.888
2.681	7343.571	1270.891	1433.947	291.802
2.781	7367.499	1247.387	1434.534	302.105
2.881	7380.430	1236.705	1435.323	316.284
2.981	7370.651	1248.721	1434.965	329.754
3.081	7388.659	1238.666	1434.767	336.927
3.181	7404.298	1240.835	1435.303	345.443
3.281	7377.086	1236.983	1435.504	356.161
3.381	7339.736	1236.422	1435.521	365.790
3.481	7321.512	1233.180	1435.507	376.542
3.581	7316.871	1211.921	1436.069	390.054
3.681	7332.389	1217.215	1435.692	403.255
3.781	7354.156	1195.909	1434.373	414.948
3.881	7332.125	1170.770	1434.531	429.001
3.981	7346.025	1186.097	1434.712	443.431
4.081	7405.254	1155.091	1434.758	454.352
4.181	7399.165	1129.176	1435.325	463.477
4.281	7378.739	1163.820	1434.944	474.607
4.381	7397.786	1170.936	1434.192	487.159
4.481	7421.601	1128.221	1435.110	496.588
4.581	7399.306	1110.586	1436.631	503.685
4.681	7327.906	1133.615	1436.489	512.567
4.781	7306.875	1138.633	1435.726	526.826
4.881	7342.421	1103.181	1434.913	543.304
4.981	7376.828	1062.213	1434.711	556.602
5.081	7400.155	1043.110	1434.721	572.020
5.181	7408.102	1046.382	1433.607	593.009
5.281	7416.457	1060.456	1434.366	609.430
5.381	7435.421	1070.692	1438.140	620.923
5.481	7451.428	1068.477	1439.915	632.891
5.581	7421.216	1054.776	1437.309	643.225
5.681	7341.993	1032.772	1433.981	651.253
5.781	7308.239	1009.907	1432.537	656.385
5.881	7347.360	996.874	1432.938	663.031
5.981	7408.972	993.152	1433.213	678.996
6.081	7435.389	990.793	1432.131	700.246
6.181	7437.654	990.634	1431.738	717.271
6.281	7457.597	995.975	1432.846	728.942
6.381	7462.958	996.733	1433.828	735.230
6.481	7468.517	983.559	1435.190	744.189
6.581	7473.195	959.200	1436.693	758.553
6.681	7453.748	934.306	1435.934	768.238
6.781	7460.406	927.664	1434.395	777.520
6.881	7478.244	941.802	1434.515	790.527
6.981	7460.904	944.541	1435.841	801.427
7.081	7454.931	925.459	1436.848	810.683
7.181	7483.613	917.661	1436.492	825.269
7.281	7483.467	922.198	1435.138	844.095
7.381	7463.294	913.035	1433.576	854.179
7.481	7489.150	902.865	1432.610	860.892
7.581	7531.084	896.879	1432.433	877.537
7.681	7532.631	883.425	1433.035	898.443
7.781	7492.715	875.345	1433.825	912.443
7.881	7474.434	869.865	1433.466	917.440
7.981	7500.061	861.771	1433.267	922.326
8.081	7510.739	856.918	1433.803	932.024
8.181	7487.285	853.474	1434.004	947.910
8.281	7433.215	853.843	1434.589	965.429
8.381	7336.977	855.873	1435.336	976.081
8.481	7257.482	855.178	1435.532	983.112
8.581	7282.130	847.390	1435.527	994.127
8.681	7355.444	835.216	1437.211	1012.526
8.781	7383.522	830.215	1440.056	1034.178
8.881	7380.613	831.944	1439.152	1055.082
8.981	7382.527	839.920	1436.297	1073.145
9.081	7396.259	854.303	1435.985	1082.360
9.181	7414.541	865.032	1436.156	1083.736
9.281	7436.366	866.548	1435.675	1089.563
9.381	7447.947	859.959	1435.496	1105.046
9.481	7431.119	845.564	1436.050	1120.528
9.581	7404.531	828.688	1436.823	1132.234
9.681	7399.113	819.869	1435.895	1143.798
9.781	7423.712	822.050	1433.801	1153.974
9.881	7455.931	827.460	1432.044	1163.124
9.981	7476.543	829.027	1431.083	1174.903
10.081	7476.202	827.855	1432.064	1187.672
10.181	7449.443	825.173	1434.194	1197.681
10.281	7420.024	820.840	1435.390	1208.363
10.381	7416.798	815.083	1436.157	1221.246
10.481	7411.081	806.307	1435.733	1233.104
10.581	7389.579	797.432	1433.811	1244.402
10.681	7383.125	791.624	1433.768	1257.315
10.781	7381.333	788.604	1436.213	1275.944
10.881	7377.756	789.547	1438.183	1298.059
10.981	7408.442	793.751	1438.045	1313.983
11.081	7453.495	793.289	1436.103	1324.061
11.181	7449.569	783.011	1433.753	1331.052
11.281	7408.169	774.295	1433.145	1339.835
11.381	7364.815	774.019	1434.302	1356.344
11.481	7348.230	774.319	1436.459	1369.047
11.581	7375.551	775.627	1438.782	1373.461
11.681	7382.540	780.196	1438.793	1378.843
11.781	7317.918	783.303	1436.867	1390.471
11.881	7260.191	781.331	1435.645	1406.395
11.981	7281.241	776.881	1434.849	1422.034
12.081	7300.696	775.395	1435.834	1434.319
12.181	7219.680	776.950	1439.655	1438.676
12.281	7066.868	774.589	1443.128	1440.101
12.381	6879.113	766.114	1445.640	1444.141
12.481	6619.248	761.617	1448.429	1447.077
12.581	6288.518	768.998	1451.405	1449.387
12.681	5918.959	782.603	1454.985	1454.432
12.781	5465.158	790.768	1459.890	1459.897
12.881	4915.981	791.882	1465.184	1465.808
