Cas [sec]	M sklopke [Ncm]	M zavore [Ncm]	n motorja [1/min]	n sklopke [1/min]
0.019	20.551	18.137	0.000	0.000
0.082	66.653	59.939	0.000	0.000
0.178	98.201	91.892	0.000	0.000
0.280	103.255	99.520	0.000	0.000
0.381	100.570	97.893	0.000	0.000
0.481	99.339	95.592	0.000	0.000
0.581	100.361	93.454	0.000	0.000
0.681	101.556	93.345	0.000	0.000
0.781	101.076	94.301	0.000	0.000
0.881	99.114	95.029	0.000	0.000
0.981	97.709	94.846	0.000	0.000
1.081	98.096	95.893	0.000	0.000
1.181	99.767	96.097	0.000	0.000
1.281	100.352	95.110	0.000	0.000
1.381	100.726	94.194	0.000	0.000
1.481	100.403	94.036	0.000	0.000
1.581	100.257	97.046	0.000	0.000
1.681	100.071	97.071	156.866	1.705
1.781	577.300	281.523	638.568	9.672
1.881	2585.445	867.522	1173.129	28.120
1.981	5480.246	1554.532	1422.515	53.495
2.081	7167.634	1925.531	1455.905	75.087
2.181	7479.868	2024.579	1443.671	86.771
2.281	7441.535	2044.896	1435.159	91.485
2.381	7408.680	2080.610	1432.321	95.931
2.481	7405.800	2180.982	1432.750	103.233
2.581	7397.670	2322.161	1434.307	112.667
2.681	7368.297	2397.527	1435.930	123.115
2.781	7338.354	2309.580	1436.329	133.132
2.881	7344.971	2081.800	1435.171	141.768
2.981	7399.017	1879.135	1434.172	149.978
3.081	7465.263	1892.168	1433.945	159.882
3.181	7469.517	2096.595	1433.965	171.539
3.281	7381.842	2199.597	1434.562	183.056
3.381	7326.843	2048.361	1435.331	191.516
3.481	7396.529	1921.675	1434.397	198.953
3.581	7456.347	2021.951	1432.301	210.317
3.681	7433.045	2079.416	1431.681	221.975
3.781	7434.749	1971.839	1432.810	229.941
3.881	7447.967	1968.961	1433.253	236.061
3.981	7423.702	2022.186	1432.725	242.480
4.081	7408.360	1976.323	1433.072	250.883
4.181	7385.518	1974.723	1433.809	263.909
4.281	7340.573	1972.496	1434.025	280.015
4.381	7336.759	1949.885	1434.027	293.307
4.481	7379.679	1939.349	1434.007	303.643
4.581	7416.886	1898.436	1433.431	314.954
4.681	7423.323	1874.640	1432.670	323.471
4.781	7419.997	1858.740	1433.036	326.969
4.881	7429.365	1841.559	1433.234	336.424
4.981	7408.324	1824.921	1433.265	354.068
5.081	7392.314	1809.995	1434.393	370.500
5.181	7414.247	1793.181	1434.204	381.183
5.281	7440.186	1794.654	1432.895	386.624
5.381	7475.997	1782.966	1433.037	391.982
5.481	7478.719	1780.716	1433.212	405.775
5.581	7431.594	1791.977	1432.689	426.414
5.681	7405.197	1757.660	1433.064	442.305
5.781	7423.494	1754.150	1433.241	450.810
5.881	7441.456	1751.225	1432.697	457.839
5.981	7452.512	1699.757	1432.495	473.039
6.081	7443.853	1693.266	1431.911	490.014
6.181	7429.293	1718.897	1432.301	494.866
6.281	7440.413	1688.288	1434.763	496.005
6.381	7448.621	1645.283	1435.560	502.174
6.481	7450.047	1655.287	1433.318	518.932
6.581	7422.335	1688.833	1431.913	541.065
6.681	7410.391	1689.521	1432.222	551.492
6.781	7466.016	1647.991	1431.894	553.454
6.881	7506.573	1601.170	1431.185	561.635
6.981	7463.842	1581.289	1431.545	577.859
7.081	7418.486	1587.951	1432.872	592.228
7.181	7472.101	1600.274	1433.287	600.076
7.281	7536.938	1604.423	1433.867	611.576
7.381	7511.053	1600.988	1435.161	632.902
7.481	7469.282	1595.773	1434.406	648.111
7.581	7512.488	1586.532	1432.889	653.476
7.681	7539.649	1572.057	1431.879	662.917
7.781	7492.625	1556.815	1431.115	674.123
7.881	7468.895	1543.392	1430.954	680.987
7.981	7479.663	1533.859	1431.542	693.028
8.081	7477.128	1532.376	1433.461	711.790
8.181	7464.728	1539.870	1435.192	720.394
8.281	7510.520	1550.695	1434.456	728.316
8.381	7526.732	1554.145	1432.334	747.788
8.481	7470.076	1540.397	1431.118	757.599
8.581	7501.808	1511.878	1431.479	763.020
8.681	7526.070	1484.395	1432.856	780.390
8.781	7466.146	1479.467	1433.288	797.120
8.881	7502.618	1498.929	1432.733	807.930
8.981	7538.517	1509.987	1433.071	822.480
9.081	7481.179	1493.099	1433.808	842.847
9.181	7504.431	1480.298	1433.456	856.300
9.281	7553.231	1483.095	1432.698	857.753
9.381	7533.101	1471.693	1433.043	863.196
9.481	7513.979	1456.216	1433.802	880.246
9.581	7487.715	1458.755	1433.457	890.613
9.681	7494.588	1456.789	1432.698	893.045
9.781	7506.926	1449.644	1432.475	905.940
9.881	7457.998	1447.357	1431.904	920.873
